"","Host","Amenity"
"2513",268,"TV"
"2514",268,"Kitchen"
"2515",268,"Wireless Internet"
"2516",269,"Cable TV"
"2517",269,"Internet"
"2518",269,"Laptop friendly workspace"
"2519",269,"Hair dryer"
"2520",269,"Essentials"
"2521",269,"Hangers"
"2522",269,"Heating"
"2523",269,"TV"
"2524",269,"Kitchen"
"2525",269,"Wireless Internet"
"2526",270,"Free parking on premise"
"2527",270,"Cable TV"
"2528",270,"Internet"
"2529",270,"Laptop friendly workspace"
"2530",270,"Suitable for events"
"2531",270,"Essentials"
"2532",270,"Hangers"
"2533",270,"Heating"
"2534",270,"Washer"
"2535",270,"TV"
"2536",270,"Kitchen"
"2537",270,"Wireless Internet"
"2538",270,"Room-darkening shades"
"2539",271,"Free parking on premise"
"2540",271,"Internet"
"2541",271,"Essentials"
"2542",271,"Hangers"
"2543",271,"Heating"
"2544",271,"TV"
"2545",271,"Kitchen"
"2546",271,"Wireless Internet"
"2547",272,"Free parking on premise"
"2548",272,"Internet"
"2549",272,"Laptop friendly workspace"
"2550",272,"Hair dryer"
"2551",272,"Iron"
"2552",272,"Essentials"
"2553",272,"Hangers"
"2554",272,"Heating"
"2555",272,"Washer"
"2556",272,"Kitchen"
"2557",272,"Wireless Internet"
"2558",273,"Free parking on premise"
"2559",273,"Cable TV"
"2560",273,"Internet"
"2561",273,"Laptop friendly workspace"
"2562",273,"Hair dryer"
"2563",273,"Iron"
"2564",273,"Essentials"
"2565",273,"Hangers"
"2566",273,"Heating"
"2567",273,"Washer"
"2568",273,"TV"
"2569",273,"Kitchen"
"2570",273,"Wireless Internet"
"2571",274,"Free parking on premise"
"2572",274,"Cable TV"
"2573",274,"Internet"
"2574",274,"Hair dryer"
"2575",274,"Iron"
"2576",274,"Essentials"
"2577",274,"Hangers"
"2578",274,"Heating"
"2579",274,"Washer"
"2580",274,"TV"
"2581",274,"Kitchen"
"2582",274,"Wireless Internet"
"2583",275,"Internet"
"2584",275,"Doorman"
"2585",275,"Suitable for events"
"2586",275,"Heating"
"2587",275,"Kitchen"
"2588",275,"Wireless Internet"
"2589",276,"Free parking on premise"
"2590",276,"Cable TV"
"2591",276,"Internet"
"2592",276,"Dryer"
"2593",276,"Laptop friendly workspace"
"2594",276,"Hair dryer"
"2595",276,"Iron"
"2596",276,"Essentials"
"2597",276,"Hangers"
"2598",276,"Wheelchair accessible"
"2599",276,"Heating"
"2600",276,"Washer"
"2601",276,"TV"
"2602",276,"Kitchen"
"2603",276,"Wireless Internet"
"2604",277,"Free parking on premise"
"2605",277,"Internet"
"2606",277,"Laptop friendly workspace"
"2607",277,"Hair dryer"
"2608",277,"Iron"
"2609",277,"Essentials"
"2610",277,"Hangers"
"2611",277,"Heating"
"2612",277,"TV"
"2613",277,"Kitchen"
"2614",277,"Wireless Internet"
"2615",278,"Cable TV"
"2616",278,"Internet"
"2617",278,"Dryer"
"2618",278,"Laptop friendly workspace"
"2619",278,"Iron"
"2620",278,"Essentials"
"2621",278,"Hangers"
"2622",278,"Heating"
"2623",278,"Washer"
"2624",278,"TV"
"2625",278,"Kitchen"
"2626",278,"Wireless Internet"
"2627",279,"Cable TV"
"2628",279,"Internet"
"2629",279,"Laptop friendly workspace"
"2630",279,"Hair dryer"
"2631",279,"Essentials"
"2632",279,"Heating"
"2633",279,"Washer"
"2634",279,"TV"
"2635",279,"Kitchen"
"2636",279,"Wireless Internet"
"2637",280,"Internet"
"2638",280,"Laptop friendly workspace"
"2639",280,"Hair dryer"
"2640",280,"Essentials"
"2641",280,"Hangers"
"2642",280,"Heating"
"2643",280,"Kitchen"
"2644",280,"Private entrance"
"2645",280,"Wireless Internet"
"2646",281,"Cable TV"
"2647",281,"Internet"
"2648",281,"Laptop friendly workspace"
"2649",281,"Iron"
"2650",281,"Hangers"
"2651",281,"Wheelchair accessible"
"2652",281,"Washer"
"2653",281,"TV"
"2654",281,"Kitchen"
"2655",281,"Wireless Internet"
"2656",282,"Internet"
"2657",282,"Essentials"
"2658",282,"Heating"
"2659",282,"Washer"
"2660",282,"Kitchen"
"2661",282,"Wireless Internet"
"2662",283,"Internet"
"2663",283,"Dryer"
"2664",283,"Laptop friendly workspace"
"2665",283,"Hair dryer"
"2666",283,"Iron"
"2667",283,"Hangers"
"2668",283,"Wheelchair accessible"
"2669",283,"Heating"
"2670",283,"Washer"
"2671",283,"TV"
"2672",283,"Kitchen"
"2673",283,"Wireless Internet"
"2674",284,"Free parking on premise"
"2675",284,"Cable TV"
"2676",284,"Internet"
"2677",284,"Laptop friendly workspace"
"2678",284,"Essentials"
"2679",284,"Heating"
"2680",284,"TV"
"2681",284,"Kitchen"
"2682",284,"Wireless Internet"
"2683",285,"Internet"
"2684",285,"Dryer"
"2685",285,"Iron"
"2686",285,"Essentials"
"2687",285,"Hangers"
"2688",285,"Heating"
"2689",285,"Washer"
"2690",285,"TV"
"2691",285,"Kitchen"
"2692",285,"Wireless Internet"
"2693",286,"Internet"
"2694",286,"Laptop friendly workspace"
"2695",286,"Hair dryer"
"2696",286,"Iron"
"2697",286,"Essentials"
"2698",286,"Hangers"
"2699",286,"Wheelchair accessible"
"2700",286,"Heating"
"2701",286,"Kitchen"
"2702",286,"Wireless Internet"
"2703",287,"Internet"
"2704",287,"Laptop friendly workspace"
"2705",287,"Iron"
"2706",287,"Heating"
"2707",287,"Washer"
"2708",287,"Kitchen"
"2709",287,"Wireless Internet"
"2710",288,"Free parking on premise"
"2711",288,"Internet"
"2712",288,"Heating"
"2713",288,"Kitchen"
"2714",288,"Wireless Internet"
"2715",289,"Cable TV"
"2716",289,"Internet"
"2717",289,"Essentials"
"2718",289,"Heating"
"2719",289,"TV"
"2720",289,"Kitchen"
"2721",289,"Wireless Internet"
"2722",290,"Free parking on premise"
"2723",290,"Cable TV"
"2724",290,"Internet"
"2725",290,"Dryer"
"2726",290,"Hair dryer"
"2727",290,"Iron"
"2728",290,"Heating"
"2729",290,"Washer"
"2730",290,"TV"
"2731",290,"Kitchen"
"2732",290,"Wireless Internet"
"2733",291,"Free parking on premise"
"2734",291,"Internet"
"2735",291,"Laptop friendly workspace"
"2736",291,"Iron"
"2737",291,"Essentials"
"2738",291,"Hangers"
"2739",291,"Heating"
"2740",291,"Washer"
"2741",291,"TV"
"2742",291,"Kitchen"
"2743",291,"Wireless Internet"
"2744",292,"Internet"
"2745",292,"Laptop friendly workspace"
"2746",292,"Hair dryer"
"2747",292,"Essentials"
"2748",292,"Heating"
"2749",292,"Wireless Internet"
"2750",293,"Internet"
"2751",293,"Laptop friendly workspace"
"2752",293,"Hair dryer"
"2753",293,"Essentials"
"2754",293,"Hangers"
"2755",293,"Heating"
"2756",293,"TV"
"2757",293,"Kitchen"
"2758",293,"Wireless Internet"
"2759",294,"Internet"
"2760",294,"Essentials"
"2761",294,"Heating"
"2762",294,"Wireless Internet"
"2763",295,"Free parking on premise"
"2764",295,"Internet"
"2765",295,"Essentials"
"2766",295,"Heating"
"2767",295,"Washer"
"2768",295,"Kitchen"
"2769",295,"Wireless Internet"
"2770",296,"Free parking on premise"
"2771",296,"Internet"
"2772",296,"Dryer"
"2773",296,"Pool"
"2774",296,"Essentials"
"2775",296,"Heating"
"2776",296,"Washer"
"2777",296,"TV"
"2778",296,"Kitchen"
"2779",296,"Wireless Internet"
"2780",297,"Free parking on premise"
"2781",297,"Cable TV"
"2782",297,"Internet"
"2783",297,"Laptop friendly workspace"
"2784",297,"Essentials"
"2785",297,"Hangers"
"2786",297,"Heating"
"2787",297,"TV"
"2788",297,"Wireless Internet"
"2789",298,"Free parking on premise"
"2790",298,"Internet"
"2791",298,"Laptop friendly workspace"
"2792",298,"Hair dryer"
"2793",298,"Essentials"
"2794",298,"Heating"
"2795",298,"TV"
"2796",298,"Kitchen"
"2797",298,"Wireless Internet"
"2798",299,"Free parking on premise"
"2799",299,"Internet"
"2800",299,"Essentials"
"2801",299,"Heating"
"2802",299,"Kitchen"
"2803",299,"Wireless Internet"
"2804",300,"Breakfast"
"2805",300,"Internet"
"2806",300,"Dryer"
"2807",300,"Hair dryer"
"2808",300,"Iron"
"2809",300,"Essentials"
"2810",300,"Hangers"
"2811",300,"Heating"
"2812",300,"Washer"
"2813",300,"Kitchen"
"2814",300,"Wireless Internet"
"2815",301,"Free parking on premise"
"2816",301,"Cable TV"
"2817",301,"Internet"
"2818",301,"Laptop friendly workspace"
"2819",301,"Hair dryer"
"2820",301,"Iron"
"2821",301,"Essentials"
"2822",301,"Hangers"
"2823",301,"Heating"
"2824",301,"Washer"
"2825",301,"TV"
"2826",301,"Kitchen"
"2827",301,"Wireless Internet"
"2828",302,"Internet"
"2829",302,"Dryer"
"2830",302,"Essentials"
"2831",302,"Heating"
"2832",302,"Washer"
"2833",302,"Kitchen"
"2834",302,"Wireless Internet"
"2835",303,"Free parking on premise"
"2836",303,"Internet"
"2837",303,"Heating"
"2838",303,"Wireless Internet"
"2839",304,"Free parking on premise"
"2840",304,"Internet"
"2841",304,"Dryer"
"2842",304,"Laptop friendly workspace"
"2843",304,"Hair dryer"
"2844",304,"Iron"
"2845",304,"Essentials"
"2846",304,"Hangers"
"2847",304,"Heating"
"2848",304,"Washer"
"2849",304,"TV"
"2850",304,"Kitchen"
"2851",304,"Wireless Internet"
"2852",305,"Internet"
"2853",305,"Laptop friendly workspace"
"2854",305,"Hair dryer"
"2855",305,"Iron"
"2856",305,"Essentials"
"2857",305,"Hangers"
"2858",305,"Heating"
"2859",305,"TV"
"2860",305,"Wireless Internet"
"2861",306,"Internet"
"2862",306,"Essentials"
"2863",306,"Hangers"
"2864",306,"Heating"
"2865",306,"TV"
"2866",306,"Wireless Internet"
"2867",307,"Free parking on premise"
"2868",307,"Internet"
"2869",307,"Essentials"
"2870",307,"Heating"
"2871",307,"Washer"
"2872",307,"TV"
"2873",307,"Kitchen"
"2874",307,"Wireless Internet"
"2875",308,"Free parking on premise"
"2876",308,"Internet"
"2877",308,"Laptop friendly workspace"
"2878",308,"Hair dryer"
"2879",308,"Iron"
"2880",308,"Essentials"
"2881",308,"Gym"
"2882",308,"Hangers"
"2883",308,"Wheelchair accessible"
"2884",308,"Heating"
"2885",308,"TV"
"2886",308,"Kitchen"
"2887",308,"Wireless Internet"
"2888",309,"Internet"
"2889",309,"Dryer"
"2890",309,"Laptop friendly workspace"
"2891",309,"Hair dryer"
"2892",309,"Iron"
"2893",309,"Essentials"
"2894",309,"Hangers"
"2895",309,"Heating"
"2896",309,"Washer"
"2897",309,"Kitchen"
"2898",309,"Wireless Internet"
"2899",310,"Breakfast"
"2900",310,"Free parking on premise"
"2901",310,"Suitable for events"
"2902",310,"Essentials"
"2903",310,"Wheelchair accessible"
"2904",310,"Heating"
"2905",310,"Kitchen"
"2906",311,"Breakfast"
"2907",311,"Free parking on premise"
"2908",311,"Cable TV"
"2909",311,"Internet"
"2910",311,"Dryer"
"2911",311,"Laptop friendly workspace"
"2912",311,"Pool"
"2913",311,"Hair dryer"
"2914",311,"Iron"
"2915",311,"Suitable for events"
"2916",311,"Essentials"
"2917",311,"Hangers"
"2918",311,"Heating"
"2919",311,"Washer"
"2920",311,"TV"
"2921",311,"Kitchen"
"2922",311,"Private entrance"
"2923",311,"Wireless Internet"
"2924",312,"Free parking on premise"
"2925",312,"Internet"
"2926",312,"Laptop friendly workspace"
"2927",312,"Hair dryer"
"2928",312,"Essentials"
"2929",312,"Hangers"
"2930",312,"Heating"
"2931",312,"Kitchen"
"2932",312,"Wireless Internet"
"2933",312,"Bathtub"
"2934",313,"Internet"
"2935",313,"Hair dryer"
"2936",313,"Iron"
"2937",313,"Essentials"
"2938",313,"Hangers"
"2939",313,"Heating"
"2940",313,"Kitchen"
"2941",313,"Private living room"
"2942",313,"Wireless Internet"
"2943",314,"Free parking on premise"
"2944",314,"Internet"
"2945",314,"Laptop friendly workspace"
"2946",314,"Essentials"
"2947",314,"Hangers"
"2948",314,"Heating"
"2949",314,"Washer"
"2950",314,"TV"
"2951",314,"Kitchen"
"2952",314,"Wireless Internet"
"2953",315,"Free parking on premise"
"2954",315,"Internet"
"2955",315,"Essentials"
"2956",315,"Heating"
"2957",315,"Kitchen"
"2958",315,"Wireless Internet"
"2959",316,"Breakfast"
"2960",316,"Internet"
"2961",316,"Laptop friendly workspace"
"2962",316,"Hair dryer"
"2963",316,"Essentials"
"2964",316,"Hangers"
"2965",316,"Heating"
"2966",316,"Kitchen"
"2967",316,"Wireless Internet"
"2968",317,"Free parking on premise"
"2969",317,"Cable TV"
"2970",317,"Internet"
"2971",317,"Laptop friendly workspace"
"2972",317,"Essentials"
"2973",317,"Heating"
"2974",317,"TV"
"2975",317,"Kitchen"
"2976",317,"Wireless Internet"
"2977",318,"Free parking on premise"
"2978",318,"Internet"
"2979",318,"Dryer"
"2980",318,"Laptop friendly workspace"
"2981",318,"Hair dryer"
"2982",318,"Iron"
"2983",318,"Essentials"
"2984",318,"Heating"
"2985",318,"Washer"
"2986",318,"Kitchen"
"2987",318,"Private entrance"
"2988",318,"Wireless Internet"
"2989",318,"Baby bath"
"2990",318,"High chair"
"2991",318,"Bathtub"
"2992",318,"Changing table"
"2993",318,"Stair gates"
"2994",318,"Crib"
"2995",319,"Free parking on premise"
"2996",319,"Internet"
"2997",319,"Laptop friendly workspace"
"2998",319,"Essentials"
"2999",319,"Hangers"
"3000",319,"Heating"
"3001",319,"TV"
"3002",319,"Kitchen"
"3003",319,"Private entrance"
"3004",319,"Wireless Internet"
"3005",319,"Bathtub"
"3006",320,"Breakfast"
"3007",320,"Free parking on premise"
"3008",320,"Internet"
"3009",320,"Dryer"
"3010",320,"Hair dryer"
"3011",320,"Iron"
"3012",320,"Essentials"
"3013",320,"Hangers"
"3014",320,"Heating"
"3015",320,"Washer"
"3016",320,"TV"
"3017",320,"Kitchen"
"3018",320,"Wireless Internet"
"3019",321,"Free parking on premise"
"3020",321,"Internet"
"3021",321,"Dryer"
"3022",321,"Laptop friendly workspace"
"3023",321,"Iron"
"3024",321,"Essentials"
"3025",321,"Hangers"
"3026",321,"Heating"
"3027",321,"Washer"
"3028",321,"Kitchen"
"3029",321,"Wireless Internet"
"3030",322,"Free parking on premise"
"3031",322,"Internet"
"3032",322,"Laptop friendly workspace"
"3033",322,"Hair dryer"
"3034",322,"Iron"
"3035",322,"Essentials"
"3036",322,"Hangers"
"3037",322,"Heating"
"3038",322,"Washer"
"3039",322,"TV"
"3040",322,"Kitchen"
"3041",322,"Wireless Internet"
"3042",323,"Free parking on premise"
"3043",323,"Cable TV"
"3044",323,"Internet"
"3045",323,"Dryer"
"3046",323,"Laptop friendly workspace"
"3047",323,"Hair dryer"
"3048",323,"Essentials"
"3049",323,"Heating"
"3050",323,"Washer"
"3051",323,"TV"
"3052",323,"Kitchen"
"3053",323,"Wireless Internet"
"3054",324,"Free parking on premise"
"3055",324,"Internet"
"3056",324,"Hair dryer"
"3057",324,"Iron"
"3058",324,"Suitable for events"
"3059",324,"Essentials"
"3060",324,"Hangers"
"3061",324,"Heating"
"3062",324,"Kitchen"
"3063",324,"Wireless Internet"
"3064",325,"Free parking on premise"
"3065",325,"Cable TV"
"3066",325,"Internet"
"3067",325,"Laptop friendly workspace"
"3068",325,"Essentials"
"3069",325,"Hangers"
"3070",325,"Heating"
"3071",325,"Washer"
"3072",325,"TV"
"3073",325,"Kitchen"
"3074",325,"Wireless Internet"
"3075",326,"Free parking on premise"
"3076",326,"Cable TV"
"3077",326,"Internet"
"3078",326,"Dryer"
"3079",326,"Laptop friendly workspace"
"3080",326,"Hair dryer"
"3081",326,"Iron"
"3082",326,"Essentials"
"3083",326,"Hangers"
"3084",326,"Heating"
"3085",326,"Washer"
"3086",326,"TV"
"3087",326,"Kitchen"
"3088",326,"Wireless Internet"
"3089",327,"Breakfast"
"3090",327,"Free parking on premise"
"3091",327,"Internet"
"3092",327,"Heating"
"3093",327,"TV"
"3094",327,"Wireless Internet"
"3095",328,"Internet"
"3096",328,"Hair dryer"
"3097",328,"Iron"
"3098",328,"Essentials"
"3099",328,"Hangers"
"3100",328,"Heating"
"3101",328,"Wireless Internet"
"3102",329,"Internet"
"3103",329,"Laptop friendly workspace"
"3104",329,"Hair dryer"
"3105",329,"Iron"
"3106",329,"Essentials"
"3107",329,"Hangers"
"3108",329,"Heating"
"3109",329,"Washer"
"3110",329,"TV"
"3111",329,"Kitchen"
"3112",329,"Wireless Internet"
"3113",330,"Cable TV"
"3114",330,"Internet"
"3115",330,"Dryer"
"3116",330,"Laptop friendly workspace"
"3117",330,"Hair dryer"
"3118",330,"Iron"
"3119",330,"Essentials"
"3120",330,"Hangers"
"3121",330,"Heating"
"3122",330,"Washer"
"3123",330,"TV"
"3124",330,"Kitchen"
"3125",330,"Private living room"
"3126",330,"Wireless Internet"
"3127",331,"Breakfast"
"3128",331,"Free parking on premise"
"3129",331,"Internet"
"3130",331,"Hair dryer"
"3131",331,"Essentials"
"3132",331,"Hangers"
"3133",331,"Heating"
"3134",331,"Kitchen"
"3135",331,"Wireless Internet"
"3136",332,"Breakfast"
"3137",332,"Free parking on premise"
"3138",332,"Internet"
"3139",332,"Hair dryer"
"3140",332,"Iron"
"3141",332,"Essentials"
"3142",332,"Hangers"
"3143",332,"Heating"
"3144",332,"Kitchen"
"3145",332,"Wireless Internet"
"3146",333,"Free parking on premise"
"3147",333,"Internet"
"3148",333,"Essentials"
"3149",333,"Hangers"
"3150",333,"Heating"
"3151",333,"Wireless Internet"
"3152",334,"Internet"
"3153",334,"Essentials"
"3154",334,"Heating"
"3155",334,"Washer"
"3156",334,"Kitchen"
"3157",334,"Wireless Internet"
"3158",335,"Internet"
"3159",335,"Dryer"
"3160",335,"Laptop friendly workspace"
"3161",335,"Hair dryer"
"3162",335,"Iron"
"3163",335,"Essentials"
"3164",335,"Hangers"
"3165",335,"Heating"
"3166",335,"Washer"
"3167",335,"Kitchen"
"3168",335,"Wireless Internet"
"3169",336,"Internet"
"3170",336,"Dryer"
"3171",336,"Laptop friendly workspace"
"3172",336,"Hair dryer"
"3173",336,"Iron"
"3174",336,"Essentials"
"3175",336,"Hangers"
"3176",336,"Heating"
"3177",336,"Washer"
"3178",336,"TV"
"3179",336,"Kitchen"
"3180",336,"Private living room"
"3181",336,"Wireless Internet"
"3182",337,"Internet"
"3183",337,"Laptop friendly workspace"
"3184",337,"Hair dryer"
"3185",337,"Iron"
"3186",337,"Essentials"
"3187",337,"Hangers"
"3188",337,"Heating"
"3189",337,"Washer"
"3190",337,"TV"
"3191",337,"Kitchen"
"3192",337,"Private living room"
"3193",337,"Wireless Internet"
"3194",338,"Breakfast"
"3195",338,"Internet"
"3196",338,"Essentials"
"3197",338,"Heating"
"3198",338,"Kitchen"
"3199",338,"Wireless Internet"
"3200",339,"Cable TV"
"3201",339,"Internet"
"3202",339,"Dryer"
"3203",339,"Laptop friendly workspace"
"3204",339,"Hair dryer"
"3205",339,"Iron"
"3206",339,"Essentials"
"3207",339,"Hangers"
"3208",339,"Heating"
"3209",339,"Washer"
"3210",339,"TV"
"3211",339,"Kitchen"
"3212",339,"Wireless Internet"
"3213",340,"Cable TV"
"3214",340,"Internet"
"3215",340,"Dryer"
"3216",340,"Hair dryer"
"3217",340,"Iron"
"3218",340,"Essentials"
"3219",340,"Hangers"
"3220",340,"Heating"
"3221",340,"Washer"
"3222",340,"TV"
"3223",340,"Kitchen"
"3224",340,"Wireless Internet"
"3225",341,"Internet"
"3226",341,"Laptop friendly workspace"
"3227",341,"Hair dryer"
"3228",341,"Iron"
"3229",341,"Essentials"
"3230",341,"Hangers"
"3231",341,"Heating"
"3232",341,"TV"
"3233",341,"Kitchen"
"3234",341,"Wireless Internet"
"3235",342,"Cable TV"
"3236",342,"Internet"
"3237",342,"Laptop friendly workspace"
"3238",342,"Hair dryer"
"3239",342,"Iron"
"3240",342,"Essentials"
"3241",342,"Hangers"
"3242",342,"Heating"
"3243",342,"TV"
"3244",342,"Kitchen"
"3245",342,"Wireless Internet"
"3246",343,"Internet"
"3247",343,"Laptop friendly workspace"
"3248",343,"Hair dryer"
"3249",343,"Iron"
"3250",343,"Essentials"
"3251",343,"Hangers"
"3252",343,"Heating"
"3253",343,"Wireless Internet"
"3254",343,"Babysitter recommendations"
"3255",344,"Cable TV"
"3256",344,"Internet"
"3257",344,"Dryer"
"3258",344,"Laptop friendly workspace"
"3259",344,"Hair dryer"
"3260",344,"Iron"
"3261",344,"Essentials"
"3262",344,"Hangers"
"3263",344,"Wheelchair accessible"
"3264",344,"Heating"
"3265",344,"Washer"
"3266",344,"TV"
"3267",344,"Kitchen"
"3268",344,"Wireless Internet"
"3269",345,"Cable TV"
"3270",345,"Internet"
"3271",345,"Dryer"
"3272",345,"Laptop friendly workspace"
"3273",345,"Hair dryer"
"3274",345,"Iron"
"3275",345,"Essentials"
"3276",345,"Hangers"
"3277",345,"Heating"
"3278",345,"Washer"
"3279",345,"TV"
"3280",345,"Kitchen"
"3281",345,"Wireless Internet"
"3282",346,"Cable TV"
"3283",346,"Internet"
"3284",346,"Laptop friendly workspace"
"3285",346,"Hair dryer"
"3286",346,"Doorman"
"3287",346,"Iron"
"3288",346,"Essentials"
"3289",346,"Hangers"
"3290",346,"Heating"
"3291",346,"TV"
"3292",346,"Kitchen"
"3293",346,"Wireless Internet"
"3294",347,"Internet"
"3295",347,"Laptop friendly workspace"
"3296",347,"Hair dryer"
"3297",347,"Iron"
"3298",347,"Essentials"
"3299",347,"Hangers"
"3300",347,"Heating"
"3301",347,"Washer"
"3302",347,"Kitchen"
"3303",347,"Wireless Internet"
"3304",348,"Internet"
"3305",348,"Laptop friendly workspace"
"3306",348,"Hair dryer"
"3307",348,"Essentials"
"3308",348,"Hangers"
"3309",348,"Heating"
"3310",348,"TV"
"3311",348,"Kitchen"
"3312",348,"Wireless Internet"
"3313",349,"Internet"
"3314",349,"Essentials"
"3315",349,"Heating"
"3316",349,"TV"
"3317",349,"Kitchen"
"3318",349,"Wireless Internet"
"3319",350,"Free parking on premise"
"3320",350,"Internet"
"3321",350,"Dryer"
"3322",350,"Laptop friendly workspace"
"3323",350,"Hair dryer"
"3324",350,"Iron"
"3325",350,"Essentials"
"3326",350,"Hangers"
"3327",350,"Heating"
"3328",350,"Washer"
"3329",350,"TV"
"3330",350,"Kitchen"
"3331",350,"Wireless Internet"
"3332",350,"Changing table"
"3333",350,"Crib"
"3334",351,"Internet"
"3335",351,"Dryer"
"3336",351,"Laptop friendly workspace"
"3337",351,"Hair dryer"
"3338",351,"Iron"
"3339",351,"Essentials"
"3340",351,"Hangers"
"3341",351,"Heating"
"3342",351,"Washer"
"3343",351,"TV"
"3344",351,"Kitchen"
"3345",351,"Wireless Internet"
"3346",351,"High chair"
"3347",351,"Bathtub"
"3348",353,"Free parking on premise"
"3349",353,"Internet"
"3350",353,"Essentials"
"3351",353,"Wheelchair accessible"
"3352",353,"Washer"
"3353",353,"Kitchen"
"3354",353,"Wireless Internet"
"3355",354,"Internet"
"3356",354,"Iron"
"3357",354,"Essentials"
"3358",354,"Hangers"
"3359",354,"Washer"
"3360",354,"TV"
"3361",354,"Kitchen"
"3362",354,"Wireless Internet"
"3363",355,"Internet"
"3364",355,"Dryer"
"3365",355,"Laptop friendly workspace"
"3366",355,"Hair dryer"
"3367",355,"Essentials"
"3368",355,"Heating"
"3369",355,"Washer"
"3370",355,"TV"
"3371",355,"Kitchen"
"3372",355,"Wireless Internet"
"3373",356,"Internet"
"3374",356,"Dryer"
"3375",356,"Iron"
"3376",356,"Essentials"
"3377",356,"Hangers"
"3378",356,"Heating"
"3379",356,"Washer"
"3380",356,"TV"
"3381",356,"Kitchen"
"3382",356,"Wireless Internet"
"3383",357,"Internet"
"3384",357,"Essentials"
"3385",357,"Heating"
"3386",357,"Wireless Internet"
"3387",358,"Internet"
"3388",358,"Dryer"
"3389",358,"Essentials"
"3390",358,"Wheelchair accessible"
"3391",358,"Heating"
"3392",358,"Washer"
"3393",358,"TV"
"3394",358,"Kitchen"
"3395",358,"Wireless Internet"
"3396",359,"Cable TV"
"3397",359,"Internet"
"3398",359,"Laptop friendly workspace"
"3399",359,"Hair dryer"
"3400",359,"Essentials"
"3401",359,"Heating"
"3402",359,"TV"
"3403",359,"Kitchen"
"3404",359,"Private entrance"
"3405",359,"Wireless Internet"
"3406",360,"Cable TV"
"3407",360,"Internet"
"3408",360,"Iron"
"3409",360,"Essentials"
"3410",360,"Hangers"
"3411",360,"Heating"
"3412",360,"TV"
"3413",360,"Kitchen"
"3414",360,"Private living room"
"3415",360,"Wireless Internet"
"3416",361,"Cable TV"
"3417",361,"Internet"
"3418",361,"Laptop friendly workspace"
"3419",361,"Hair dryer"
"3420",361,"Iron"
"3421",361,"Essentials"
"3422",361,"Hangers"
"3423",361,"Heating"
"3424",361,"TV"
"3425",361,"Kitchen"
"3426",361,"Wireless Internet"
"3427",362,"Cable TV"
"3428",362,"Internet"
"3429",362,"Laptop friendly workspace"
"3430",362,"Hair dryer"
"3431",362,"Iron"
"3432",362,"Essentials"
"3433",362,"Hangers"
"3434",362,"Wheelchair accessible"
"3435",362,"Heating"
"3436",362,"Washer"
"3437",362,"TV"
"3438",362,"Kitchen"
"3439",362,"Private entrance"
"3440",362,"Wireless Internet"
"3441",363,"Internet"
"3442",363,"Laptop friendly workspace"
"3443",363,"Hair dryer"
"3444",363,"Essentials"
"3445",363,"Hangers"
"3446",363,"Heating"
"3447",363,"Wireless Internet"
"3448",364,"Cable TV"
"3449",364,"Internet"
"3450",364,"Laptop friendly workspace"
"3451",364,"Essentials"
"3452",364,"Hangers"
"3453",364,"Wheelchair accessible"
"3454",364,"Heating"
"3455",364,"TV"
"3456",364,"Kitchen"
"3457",364,"Wireless Internet"
"3458",365,"Breakfast"
"3459",365,"Internet"
"3460",365,"Laptop friendly workspace"
"3461",365,"Hair dryer"
"3462",365,"Essentials"
"3463",365,"Hangers"
"3464",365,"Heating"
"3465",365,"Washer"
"3466",365,"Kitchen"
"3467",365,"Private entrance"
"3468",365,"Wireless Internet"
"3469",366,"Cable TV"
"3470",366,"Internet"
"3471",366,"Dryer"
"3472",366,"Laptop friendly workspace"
"3473",366,"Hair dryer"
"3474",366,"Iron"
"3475",366,"Essentials"
"3476",366,"Hangers"
"3477",366,"Wheelchair accessible"
"3478",366,"Heating"
"3479",366,"Washer"
"3480",366,"TV"
"3481",366,"Kitchen"
"3482",366,"Wireless Internet"
"3483",367,"Free parking on premise"
"3484",367,"Internet"
"3485",367,"Essentials"
"3486",367,"Wheelchair accessible"
"3487",367,"Washer"
"3488",367,"Kitchen"
"3489",367,"Wireless Internet"
"3490",368,"Internet"
"3491",368,"Laptop friendly workspace"
"3492",368,"Hair dryer"
"3493",368,"Iron"
"3494",368,"Essentials"
"3495",368,"Hangers"
"3496",368,"Heating"
"3497",368,"Washer"
"3498",368,"Kitchen"
"3499",368,"Wireless Internet"
"3500",369,"Cable TV"
"3501",369,"Internet"
"3502",369,"Dryer"
"3503",369,"Essentials"
"3504",369,"Heating"
"3505",369,"Washer"
"3506",369,"TV"
"3507",369,"Kitchen"
"3508",369,"Wireless Internet"
"3509",370,"Internet"
"3510",370,"Laptop friendly workspace"
"3511",370,"Hair dryer"
"3512",370,"Iron"
"3513",370,"Essentials"
"3514",370,"Hangers"
"3515",370,"Heating"
"3516",370,"Washer"
"3517",370,"Kitchen"
"3518",370,"Private entrance"
"3519",370,"Wireless Internet"
"3520",371,"Internet"
"3521",371,"Dryer"
"3522",371,"Hair dryer"
"3523",371,"Iron"
"3524",371,"Essentials"
"3525",371,"Hangers"
"3526",371,"Heating"
"3527",371,"Washer"
"3528",371,"TV"
"3529",371,"Kitchen"
"3530",371,"Wireless Internet"
"3531",372,"Internet"
"3532",372,"Dryer"
"3533",372,"Hair dryer"
