"","Host","Amenity"
"252",28,"Hangers"
"253",28,"Heating"
"254",28,"Washer"
"255",28,"TV"
"256",28,"Kitchen"
"257",28,"Wireless Internet"
"258",29,"Internet"
"259",29,"Dryer"
"260",29,"Laptop friendly workspace"
"261",29,"Hair dryer"
"262",29,"Iron"
"263",29,"Essentials"
"264",29,"Hangers"
"265",29,"Heating"
"266",29,"Washer"
"267",29,"Private entrance"
"268",29,"Wireless Internet"
"269",30,"Cable TV"
"270",30,"Internet"
"271",30,"Laptop friendly workspace"
"272",30,"Hair dryer"
"273",30,"Iron"
"274",30,"Suitable for events"
"275",30,"Essentials"
"276",30,"Hangers"
"277",30,"Heating"
"278",30,"TV"
"279",30,"Kitchen"
"280",30,"Private entrance"
"281",30,"Wireless Internet"
"282",31,"Cable TV"
"283",31,"Internet"
"284",31,"Laptop friendly workspace"
"285",31,"Hair dryer"
"286",31,"Iron"
"287",31,"Suitable for events"
"288",31,"Essentials"
"289",31,"Hangers"
"290",31,"Heating"
"291",31,"TV"
"292",31,"Kitchen"
"293",31,"Private entrance"
"294",31,"Wireless Internet"
"295",32,"Free parking on premise"
"296",32,"Internet"
"297",32,"Laptop friendly workspace"
"298",32,"Hair dryer"
"299",32,"Iron"
"300",32,"Essentials"
"301",32,"Wheelchair accessible"
"302",32,"Heating"
"303",32,"Wireless Internet"
"304",33,"Internet"
"305",33,"Hair dryer"
"306",33,"Essentials"
"307",33,"Heating"
"308",33,"Wireless Internet"
"309",34,"Internet"
"310",34,"Essentials"
"311",34,"Heating"
"312",34,"Washer"
"313",34,"TV"
"314",34,"Kitchen"
"315",34,"Wireless Internet"
"316",35,"Free parking on premise"
"317",35,"Cable TV"
"318",35,"Internet"
"319",35,"Laptop friendly workspace"
"320",35,"Hair dryer"
"321",35,"Essentials"
"322",35,"Gym"
"323",35,"Hangers"
"324",35,"Heating"
"325",35,"TV"
"326",35,"Kitchen"
"327",35,"Wireless Internet"
"328",36,"Internet"
"329",36,"Dryer"
"330",36,"Hair dryer"
"331",36,"Iron"
"332",36,"Essentials"
"333",36,"Heating"
"334",36,"Washer"
"335",36,"TV"
"336",36,"Kitchen"
"337",36,"Wireless Internet"
"338",37,"Internet"
"339",37,"Essentials"
"340",37,"Heating"
"341",37,"Washer"
"342",37,"TV"
"343",37,"Kitchen"
"344",37,"Wireless Internet"
"345",38,"Free parking on premise"
"346",38,"Cable TV"
"347",38,"Internet"
"348",38,"Laptop friendly workspace"
"349",38,"Hair dryer"
"350",38,"Essentials"
"351",38,"Gym"
"352",38,"Hangers"
"353",38,"Heating"
"354",38,"TV"
"355",38,"Kitchen"
"356",38,"Wireless Internet"
"357",39,"Free parking on premise"
"358",39,"Cable TV"
"359",39,"Internet"
"360",39,"Laptop friendly workspace"
"361",39,"Hair dryer"
"362",39,"Iron"
"363",39,"Essentials"
"364",39,"Hangers"
"365",39,"Heating"
"366",39,"TV"
"367",39,"Kitchen"
"368",39,"Wireless Internet"
"369",40,"Internet"
